NAME,TEAM,GP,MPG,FGM,FGA,FTM,FTA,TPM,PTS,REB,AST,STL,BLK,TO
Chris Paul,PHX,72,30.4,6,12.4,2.4,2.6,1.5,15.9,4.4,8.6,1.3,0.3,2.2
Christian Wood,HOU,70,32.5,7.6,14.9,3,4.6,1.8,20,9.3,1.6,0.8,1.1,1.9
Chuma Okeke,ORL,68,30.1,4,9.2,0.9,1.2,1.4,10.3,5.1,2.8,1.4,0.6,1
CJ McCollum,POR,72,33.5,8.5,18.5,2.3,2.8,3.5,22.7,3.8,4.6,0.9,0.4,1.4
Clint Capela,ATL,75,31.5,6.5,11,2,3.4,0,14.9,14.9,0.8,0.7,2.1,1.3
Coby White,CHI,62,25.6,4.7,11.1,1.6,1.8,2.1,13,3.3,3.7,0.5,0.2,2
Cole Anthony,ORL,72,25.9,4.5,10.7,2.2,2.7,1.2,12.4,4.5,3.9,0.7,0.4,2.2
Collin Sexton,CLE,75,35.4,8.6,18.1,5.2,6.4,1.6,23.9,3.2,4.2,1.1,0.2,2.8
D'Angelo Russell,MIN,70,30.2,7.1,16.3,2.8,3.8,3,20,2.8,6.1,1.1,0.4,2.8
Damian Lillard,POR,76,34.8,8.8,19.3,6.5,7,4,27.9,4.1,7.3,0.9,0.3,2.9
Daniel Gafford,WAS,69,20.2,3.9,5.7,1.8,2.7,0,9.6,5.7,0.7,0.7,1.8,1.1
Daniel Theis,HOU,70,25.2,4,7.3,1.1,1.7,0.8,9.8,5.6,1.7,0.6,0.9,1
Danilo Gallinari,ATL,65,22.6,3.8,8.8,3,3.2,1.9,12.5,4,1.4,0.6,0.2,0.8
Danny Green,PHI,74,28.2,3.3,7.9,0.5,0.6,2.4,9.5,3.8,1.7,1.2,0.7,1
Darius Garland,CLE,70,33.7,7.7,16.9,2.2,2.5,2.2,19.9,2.5,6.4,1.3,0.1,3.1
De'Aaron Fox,SAC,73,34.7,9.5,20,5.2,7.2,1.8,26,3.5,7.2,1.5,0.5,3
De'Andre Hunter,ATL,70,29.4,5.2,10.8,3.2,3.7,1.4,14.9,4.8,1.9,0.8,0.5,1.3
De'Anthony Melton,MEM,70,22.8,3.7,8.6,0.9,1.1,1.9,10.3,3.5,2.8,1.2,0.7,1.5
Deandre Ayton,PHX,76,31.8,6.8,10.9,2,2.6,0.2,15.6,10.9,1.5,0.6,1.2,1.6
Dejounte Murray,SAS,74,33.4,6.9,15.1,1.7,2.1,0.9,16.4,7.4,6.8,1.6,0.1,1.8
DeMar DeRozan,CHI,76,32.2,7,14,5.4,6.2,0.3,19.7,3.7,3.9,0.8,0.2,1.7
